stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,stop_timezone,wheelchair_boarding
PLOTTIER,317864,Plottière,47.522342,-0.6109019999999999,0,Europe/Paris,1
CHMART-E,2510,Champ des Martyrs,47.49006,-0.5826249999999999,0,Europe/Paris,1
1JE23,24624,Jean XXIII,47.448607,-0.5629320000000001,0,Europe/Paris,1
PRTLAUNA,20548,Port Launay,47.520718,-0.521638,0,Europe/Paris,0
FOUDON-E,375171,Foudon,47.492273,-0.42521,0,Europe/Paris,0
HARENC-E,498256,Harenchères,47.448572,-0.6159790000000001,0,Europe/Paris,0
GRANDM-E,12485,Grandmont,47.486947,-0.5879920000000001,0,Europe/Paris,1
HDVSUB,159454,Hôtel de Ville,47.471981,-0.5463100000000001,0,Europe/Paris,1
BOSQUE-E,9680,Bosquet,47.409779,-0.524831,0,Europe/Paris,0
WJMOU,26583,Jean Moulin,47.490693,-0.5522120000000001,0,Europe/Paris,1
LEMERCIE,15271,Lemercier,47.498671,-0.5226510000000001,0,Europe/Paris,0
ALDUNA-E,,Allonneau-Dunant,47.482346,-0.5266970000000001,0,Europe/Paris,1
RTEDANGE,6743,Route d'Angers,47.425501,-0.5565210000000002,0,Europe/Paris,1
BERAUD-E,239457,Les Béraudières,47.504719,-0.440294,0,Europe/Paris,1
PYRAM2-E,46871,Pyramide,47.440815,-0.4885180000000001,0,Europe/Paris,1
FRANVILL,15918,François Villon,47.433724,-0.5231510000000001,0,Europe/Paris,1
OCEANBEN,824455,Bennefray,47.519897,-0.438815,0,Europe/Paris,1
PARCEXPO,12773,Parc Expo,47.496892,-0.4941570000000001,0,Europe/Paris,1
GDMOTT-E,431561,Grand Mottay,47.575729,-0.4775080000000001,0,Europe/Paris,0
RTINAR-E,273,Roche Tinard,47.496041,-0.402326,0,Europe/Paris,0
BEAUM-E,3588,Beaumanoir,47.451305,-0.5107250000000001,0,Europe/Paris,1
RMOINE-E,32116,Roche aux Moines,47.39389,-0.6459070000000001,0,Europe/Paris,0
LALANDE,30783,Lande,47.56229,-0.5854390000000002,0,Europe/Paris,0
HAUCHA-E,718288,Hautes Chapelles,47.475738,-0.380893,0,Europe/Paris,1
SEPSON-E,26591,7 Sonnettes,47.485737,-0.5151470000000001,0,Europe/Paris,1
GRANMA-E,605765,Grand Maison,47.546145,-0.4785450000000001,0,Europe/Paris,0
MIRABEAU,9907,Mirabeau,47.460082,-0.5503220000000001,0,Europe/Paris,1
1CONS,,Conservatoire,47.471389,-0.5381520000000001,0,Europe/Paris,1
LIZE,14789,Lizé,47.486849,-0.5731630000000001,0,Europe/Paris,1
1HOPA,24731,CHU-Hôpital,47.481385,-0.5541580000000002,0,Europe/Paris,1
GDPRESSO,39547,Grand Pressoir,47.399434,-0.527715,0,Europe/Paris,1
MOLINE-E,25255,Molinerie,47.52141,-0.6667260000000002,0,Europe/Paris,0
CHAERIGN,7264,Château Érigné,47.406476,-0.5257530000000001,0,Europe/Paris,0
CHABOLA.,973195,Chabolais,47.501229,-0.5074310000000001,0,Europe/Paris,1
LAGRANGE,26550,La Grange,47.503282,-0.6324640000000001,0,Europe/Paris,0
TARTELUS,653022,Tartelusse,47.558722,-0.437693,0,Europe/Paris,0
LORTIER,323427,L'Ortier,47.571415,-0.42656,0,Europe/Paris,0
LEVESQUE,29223,Levesque,47.402223,-0.5336710000000001,0,Europe/Paris,1
IMTEC,27425,Bouzinac,47.503319,-0.5097290000000001,0,Europe/Paris,1
LIZE-E,2010,Lizé,47.486875,-0.5729830000000001,0,Europe/Paris,1
CRETAU-E,747849,Crétaudière,47.47555,-0.366299,0,Europe/Paris,0
COUPERIN,,Couperin,47.468955,-0.5271970000000001,0,Europe/Paris,1
JUSTIC-E,4918,Justices,47.453331,-0.5262720000000001,0,Europe/Paris,1
COTTAG-E,5184,Cottage,47.494589,-0.5151340000000001,0,Europe/Paris,1
BIAIS-E,841213,Biais,47.584779,-0.5394340000000001,0,Europe/Paris,0
CCHEMI-E,30919,Croix de Cheminée,47.467526,-0.5028740000000002,0,Europe/Paris,0
ORGEM2-E,29706,Orgemont,47.447803,-0.5422070000000001,0,Europe/Paris,1
1BASC,4827,Bascule,47.508686,-0.591659,0,Europe/Paris,1
FMEDECIN,10330,Fac de Médecine,47.48718,-0.5522850000000001,0,Europe/Paris,1
CORMI-E,8668,Cormiers,47.458047,-0.5153830000000001,0,Europe/Paris,1
AARDBU-E,,Avrillé - Ardenne,47.512466,-0.5964020000000001,0,Europe/Paris,1
CROISE-E,29354,Croisette,47.450963,-0.6004320000000001,0,Europe/Paris,1
FRAYON-E,456117,Frayon,47.46193,-0.7096540000000001,0,Europe/Paris,1
GALILEE,17363,Galilée,47.456345,-0.6672390000000001,0,Europe/Paris,0
2BRIS,,Brisepotière,47.478503,-0.5282300000000001,0,Europe/Paris,1
DARWIN-E,12749,Darwin,47.474255,-0.60523,0,Europe/Paris,0
GUINEZ-E,13857,Guinezert,47.461784,-0.6310820000000001,0,Europe/Paris,0
VERIGNE,12319,Vérigné,47.588269,-0.4936780000000001,0,Europe/Paris,0
ESEO-E,561593,ESEO,47.492227,-0.5516020000000001,0,Europe/Paris,1
MILLOT.,4218,Saumuroise,47.457313,-0.5325010000000001,0,Europe/Paris,1
DUREL1-E,749082,Durellerie Carrée,47.428923,-0.6413670000000001,0,Europe/Paris,0
BOIFOU-E,456097,Bois du Fouilloux,47.436268,-0.7002300000000001,0,Europe/Paris,1
VALDEMAI,31960,Val de Maine,47.4431185,-0.6125722000000001,0,Europe/Paris,1
BARBOTER,24521,Barboterie,47.400469,-0.5247690000000002,0,Europe/Paris,1
BVALLE-E,29950,Basses Vallées,47.579055,-0.4996980000000001,0,Europe/Paris,0
BESNARDI,96684,Besnardières,47.479947,-0.5441720000000001,0,Europe/Paris,0
LESLAN-E,8170,Robinières,47.470947,-0.6970570000000001,0,Europe/Paris,0
BAUNCE-E,928925,Bauné Centre,47.499368,-0.318324,0,Europe/Paris,0
DESJARDI,18446,Desjardins,47.477948,-0.5302750000000001,0,Europe/Paris,1
WTBO-E,30166,Terra Botanica,47.494206,-0.5750960000000001,0,Europe/Paris,1
